subject_id,title,rating,genre,release_year,duration,summary,country,directors,detail_url,comment_len
1297630,第六感,8.9,剧情 悬疑 惊悚/美国,1999,0,,美国/剧情 悬疑 惊悚,M·奈特·沙马兰/M./Night,https://movie.douban.com/subject/1297630/,0
1461403,茶馆,9.5,中国大陆/剧情 历史/郑榕 Rong Zhen,1982,0,,郑榕 Rong Zhen/中国大陆/剧情 历史,谢添/Tian/Xie,https://movie.douban.com/subject/1461403/,0
1296339,爱在黎明破晓前,8.8,剧情 爱情/美国 奥地利 瑞士,1995,0,,美国 奥地利 瑞士/剧情 爱情,理查德·林克莱特/Richard/Linklater,https://movie.douban.com/subject/1296339/,0
1291990,爱在日落黄昏时,8.9,剧情 爱情/美国 法国,2004,0,,美国 法国/剧情 爱情,理查德·林克莱特/Richard/Linklater,https://movie.douban.com/subject/1291990/,0
1787291,被嫌弃的松子的一生,8.8,剧情 歌舞/日本/瑛太 E... 2006,2006,0,,日本/剧情 歌舞,中岛哲也/Tetsuya/Nakashima,https://movie.douban.com/subject/1787291/,0
1309055,哈利·波特与火焰杯,8.8,悬疑 奇幻 冒险/英国 美国,2005,0,,英国 美国/悬疑 奇幻 冒险,迈克·内威尔/Mike/Newell,https://movie.douban.com/subject/1309055/,0
10533913,头脑特工队,8.8,喜剧 动画 冒险/美国,2015,0,,美国/喜剧 动画 冒险,彼特·道格特/Pete/Docter,https://movie.douban.com/subject/10533913/,0
1395091,未麻的部屋,9.1,日本,1997,0,,日本/剧情 犯罪 动画 悬疑 惊悚,今敏/Satoshi/Kon,https://movie.douban.com/subject/1395091/,0
1291999,重庆森林,8.8,中国香港/剧情 爱情,1994,0,,中国香港/剧情 爱情,王家卫/Kar/Wai,https://movie.douban.com/subject/1291999/,0
4202302,借东西的小人阿莉埃蒂,8.9,动画 奇幻 冒险/日本/神木... 2010,2010,0,,日本/动画 奇幻 冒险,米林宏昌/Hiromasa/Yonebayashi,https://movie.douban.com/subject/4202302/,0
1293359,菊次郎的夏天,8.9,剧情 喜剧/日本,1999,0,,日本/剧情 喜剧,北野武/Takeshi/Kitano,https://movie.douban.com/subject/1293359/,0
2149806,入殓师,8.9,... 2008/剧情/日本,2008,0,,日本/剧情,泷田洋二郎/Yôjirô/Takita,https://movie.douban.com/subject/2149806/,0
1418834,断背山,8.8,剧情 爱情 同性 家庭/美国 加拿大,2005,0,,美国 加拿大/剧情 爱情 同性 家庭,李安/Ang/Lee,https://movie.douban.com/subject/1418834/,0
1292370,剪刀手爱德华,8.7,剧情 爱情 奇幻/美国/薇诺娜·... 1990,1990,0,,美国/剧情 爱情 奇幻,蒂姆·波顿/Tim/Burton,https://movie.douban.com/subject/1292370/,0
1294639,勇敢的心,8.9,美国/苏菲·玛... 1995,1995,0,,美国/动作 传记 剧情 历史 战争,梅尔·吉布森/Mel/Gibson,https://movie.douban.com/subject/1294639/,0
10577869,时空恋旅人,8.8,喜剧 爱情 奇幻/英国 美国,2013,0,,英国 美国/喜剧 爱情 奇幻,理查德·柯蒂斯/Richard/Curtis,https://movie.douban.com/subject/10577869/,0
2353023,驯龙高手,8.8,动画 奇幻 冒险/美国,2010,0,,美国/动画 奇幻 冒险,迪恩·德布洛斯/Dean/DeBlois,https://movie.douban.com/subject/2353023/,0
21318488,消失的爱人,8.7,剧情 犯罪 悬疑 惊悚/罗莎蒙... 2014/美国,2014,0,,美国/剧情 犯罪 悬疑 惊悚,大卫·芬奇/David/Fincher,https://movie.douban.com/subject/21318488/,0
1292337,无人知晓,9.1,剧情/北浦爱... 2004/日本,2004,0,,日本/剧情,是枝裕和/Hirokazu/Koreeda,https://movie.douban.com/subject/1292337/,0
1297447,倩女幽魂,8.8,中国香港/爱情 奇幻 武侠 古装,1987,0,,中国香港/爱情 奇幻 武侠 古装,程小东/Siu-Tung/Ching,https://movie.douban.com/subject/1297447/,0
1418200,傲慢与偏见,8.7,剧情 爱情/法国 英国 美国/马修·... 2005,2005,0,,法国 英国 美国/剧情 爱情,乔·怀特/Joe/Wright,https://movie.douban.com/subject/1418200/,0
10437779,新世界,8.9,剧情 犯罪/韩国,2013,0,,韩国/剧情 犯罪,朴勋政/Hoon-jung/Park,https://movie.douban.com/subject/10437779/,0
